id_repuesto,nombre,stock,precio_unitario,id_marca,id_categoria
1,Pantalla Samsung Galaxy S23 Ultra,10,210000.0,1,1
2,Batería Xiaomi 14T Pro,12,46000.0,2,2
3,Pantalla Xiaomi Redmi Note 14 Pro,9,180000.0,2,1
4,Cámara Motorola Edge 50 Fusion,5,105000.0,3,3
5,Cargador TCL 50 SE 2024,20,11000.0,4,4
6,Pantalla Samsung Galaxy S24+,6,250000.0,1,1
7,Batería Motorola G85 2025,14,35000.0,3,2
8,Pantalla Xiaomi 15 2025,7,165000.0,2,1
9,Cámara Samsung Galaxy Z Flip6 2024,4,195000.0,1,3
10,Pantalla TCL 50 SE 2023,10,78000.0,4,1
